production,number_of_movies,domestic_revenue,total_revenue
Ministre des Affaires Etrangeres,3,"9,248,228","18,109,321"
Hollywood Gang,3,"9,208,876","9,241,282"
Statement Pictures,3,"9,042,724","11,977,046"
CODEBLACK Entertainment,3,"9,007,998","9,013,998"
Adlabs Films,3,"8,986,596","13,348,465"
Greenstreet Films,3,"8,977,166","32,818,158"
Reprisal Films,3,"8,959,780","38,793,473"
Infinity Media,3,"8,931,630","11,893,542"
Single Cell Pictures,3,"8,886,160","10,206,551"
Traziende Films,3,"8,814,077","25,616,520"
Peak Distribution Partners LLC,3,"8,813,410","14,398,952"
26 Films,3,"8,681,540","20,481,540"
Videovision Entertainment,3,"8,655,391","30,297,924"
Aldamisa Entertainment,3,"8,008,161","23,637,632"
Southpaw Entertainment,3,"7,885,294","18,315,903"
Wildfire Films,3,"7,868,796","7,876,634"
MXN Entertainment,3,"7,808,732","7,872,263"
Sobras International Pictures,3,"7,228,627","19,259,936"
Global Produce,3,"7,128,863","7,630,897"
Fable House Productions,3,"7,105,353","33,164,603"
Sienna Films,3,"7,089,761","8,628,459"
WEGA Film,3,"7,086,181","39,167,014"
Thin Man Films,3,"6,869,693","43,230,654"
SunnyMarch,3,"6,705,266","12,686,034"
Cre Films,3,"6,627,170","12,240,567"
Prospero Pictures,3,"6,445,719","21,668,155"
Movie Plus,3,"6,394,531","8,864,724"
Sudden Storm Entertainment,3,"6,371,623","10,494,767"
Shenghua Entertainment,3,"6,237,702","6,638,908"
Telling Pictures,3,"6,180,158","6,180,158"
Atlantic Producitions,3,"5,751,141","10,894,223"
Mazur/Kaplan Company,3,"5,676,110","27,067,905"
Lifetime Films,3,"5,608,745","15,478,255"
Neue Road,3,"5,528,843","33,554,625"
Creative Differences,3,"5,528,800","9,920,274"
Untitled Entertainment,3,"5,353,586","20,646,239"
PCH Films,3,"5,350,694","5,350,694"
Wiedemann & Berg,3,"5,154,226","16,575,012"
Ikiru Films,3,"5,130,045","45,634,072"
Liberty Films,3,"5,010,163","10,679,222"
Audley Films,3,"4,942,202","30,152,130"
Circle Film,3,"4,694,483","4,785,961"
Film Rites,3,"4,574,037","26,180,451"
Jan Chapman Films,3,"4,511,786","19,262,631"
2.4.7. Films,3,"4,443,403","29,073,866"
Representational Pictures,3,"4,341,067","7,828,490"
WS Filmproduktion,3,"4,299,683","13,642,328"
The Documentary Company,3,"4,278,838","13,500,525"
DAR Motion Pictures,3,"4,231,500","15,611,607"
Memfis Film,3,"4,219,536","37,865,202"
Small Man,3,"4,031,362","7,966,665"
GVN Releasing,3,"4,016,460","4,342,166"
Schramm Film Koerner & Weber Production,3,"3,982,148","13,476,574"
Film Four International,3,"3,913,133","9,688,426"
A Perfect Weekend,3,"3,902,185","11,096,020"
The Film Consortium,3,"3,837,986","12,723,583"
Lonely Dragon,3,"3,810,592","11,215,235"
Alexandre Films,3,"3,803,830","6,558,026"
October Films,3,"3,796,699","3,825,850"
Arbaaz Khan Productions,3,"3,763,223","89,182,116"
Cinecap 2,3,"3,759,854","14,160,408"
TV Fond,3,"3,642,557","35,297,494"
Norsk Filminstitutt,3,"3,637,305","8,702,390"
The Welsh Government,3,"3,603,484","13,807,089"
Forthcoming Films,3,"3,524,106","17,850,208"
Nordsvensk,3,"3,516,442","6,816,230"
Junglee Pictures,3,"3,457,222","5,418,108"
New Sparta Films,3,"3,454,553","16,454,536"
Max Films,3,"3,409,304","3,669,858"
Hehe Pictures Co Ltd,3,"3,386,726","579,174,649"
BMG Brokers,3,"3,368,569","3,368,569"
Shine Global,3,"3,308,630","5,931,110"
Shanghai New Culture Media Group,3,"3,278,104","685,766,063"
3 Marys Entertainment S.R.I.,3,"3,224,126","20,855,605"
Votiv Films,3,"3,130,012","3,331,466"
Big Bang,3,"3,107,072","27,001,572"
Kino Swiat,3,"3,073,392","20,317,079"
Praxis,3,"3,001,089","6,490,549"
22h22,3,"2,963,630","15,230,672"
JW Films,3,"2,893,809","10,113,134"
Memento Films Distribution,3,"2,790,286","25,818,628"
BBC Two Films,3,"2,730,296","13,543,112"
Pegasus Motion Pictures,3,"2,679,437","190,370,012"
Vortex Sutra,3,"2,626,042","6,666,991"
Blossom Films,3,"2,491,979","6,809,636"
Memo Films,3,"2,483,472","7,113,800"
Yong Film,3,"2,480,665","92,549,146"
End Cue,3,"2,466,546","2,625,167"
Ithaca Films,3,"2,429,989","8,217,571"
Bavaria Film Intl.,3,"2,356,072","2,356,072"
FishCorb Films,3,"2,335,896","7,776,220"
Page 114,3,"2,318,949","37,106,696"
Le Bureau,3,"2,257,706","10,632,638"
Castelao Producciones,3,"2,203,641","15,810,339"
Lascaux Films,3,"2,197,500","3,372,038"
IBC Spotlight,3,"2,158,113","21,375,172"
Unison Films,3,"2,076,444","15,914,382"
Contracorriente Films,3,"2,034,445","22,584,547"
Ingenious Senior Film Fund,3,"2,022,115","24,427,289"
White Hot Productions,3,"2,022,115","24,044,795"
Flanders Audiovisual Fund,3,"1,975,999","4,244,808"
Laokoon Cinema,3,"1,941,760","12,856,038"
Regent Capital,3,"1,938,480","32,003,711"
Taihe Films Investment Co. Ltd.,3,"1,924,589","186,943,005"
Potemkino,3,"1,865,396","4,712,393"
Framestore Features,3,"1,822,378","13,638,996"
Fondation Gan pour le cinema,3,"1,791,463","10,892,159"
Adventure Pictures,3,"1,766,318","6,662,749"
Foundry Films,3,"1,732,734","2,003,742"
Hartley Foundation,3,"1,700,680","1,708,623"
Mint Pictures,3,"1,673,108","4,484,596"
Kotva Films,3,"1,636,853","2,083,915"
Cutting Edge,3,"1,616,511","27,287,577"
Primary Productions,3,"1,603,302","3,369,440"
Topple Entertainment,3,"1,585,362","1,908,425"
Sri Venkateswara Creations,3,"1,582,476","1,899,813"
Vintage Pictures,3,"1,574,925","4,784,454"
Ultimate Pictures,3,"1,567,429","19,715,951"
The Documentary Group,3,"1,563,173","2,007,420"
Atlas Films,3,"1,538,898","1,546,228"
Det Danske Filminstitut,3,"1,508,047","15,780,819"
Madeleine,3,"1,479,478","2,340,480"
Bob & Co,3,"1,444,684","15,604,266"
Atlantic Pictures,3,"1,437,238","2,402,768"
TFC at the Movies,3,"1,424,915","1,575,859"
Catalyst Global Media,3,"1,423,347","16,294,793"
Belgacom,3,"1,422,393","5,212,235"
Werc Werk Works,3,"1,410,686","1,817,680"
Rival Pictures,3,"1,357,042","1,357,042"
Capitol Films,3,"1,335,502","6,143,059"
Viva Films,3,"1,326,775","1,909,957"
Eficine,3,"1,288,862","7,800,604"
B.A. Entertainment,3,"1,288,648","84,933,531"
William Teitler Productions,3,"1,271,909","1,560,464"
Greenestreet Films,3,"1,259,357","1,259,357"
Moving Pictures Media,3,"1,257,275","2,937,725"
Firelight Productions,3,"1,248,184","1,649,576"
London Films,3,"1,232,468","1,395,303"
Lailaps Pictures,3,"1,231,117","8,553,603"
Haunted Movie,3,"1,202,057","3,091,947"
Code Entertainment,3,"1,188,194","1,518,799"
Cinedigm,3,"1,187,596","2,483,031"
Ulrich Seidl Film,3,"1,186,255","2,760,932"
Melusine Productions,3,"1,169,905","12,638,657"
Holly Wiersma,3,"1,167,277","7,713,345"
Sophie Dulac,3,"1,136,998","7,770,517"
Oldgarth Media,3,"1,132,448","5,798,020"
Ace Pictures,3,"1,130,277","1,291,408"
Screen Siren Pictures,3,"1,124,445","2,919,299"
Spitfire Pictures,3,"1,094,398","1,141,168"
Arsam Intl.,3,"1,094,049","4,011,182"
Le Tax Shelter du Gouvernement F?d?ral de Belgique,3,"1,091,081","25,497,343"
Cine Cinema,3,"1,054,361","23,134,075"
FilmFyn,3,"1,038,305","16,321,585"
Lightstream Pictures,3,"1,036,541","6,211,743"
Riva Filmproduktion,3,"1,018,113","1,288,310"
Sony BMG Music Entertainment,3,"980,697","2,185,790"
Cinema Projects,3,"961,384","1,704,943"
Our Time Projects,3,"958,605","1,484,825"
The Lagralane Group,3,"955,925","2,604,852"
Parkville Pictures,3,"952,023","2,141,435"
Palatine Etoile 11,3,"946,201","10,880,776"
Focus Features International,3,"944,890","44,909,985"
The Group Entertainment,3,"943,116","944,753"
AZ Films,3,"939,099","7,148,079"
Icon Film Distribution,3,"933,637","4,209,425"
Sedic International Inc.,3,"931,435","18,856,097"
Skyline Productions,3,"925,493","3,766,479"
Friday Filmworks,3,"880,000","1,620,212"
Bona Entertainment Company,3,"876,848","516,267,898"
Destination Films,3,"876,473","985,127"
Ukranian State Film Agency,3,"847,495","5,189,476"
Living the Dream Films,3,"845,307","1,147,610"
SFFILM Invest,3,"815,082","954,024"
Alchemy,3,"803,358","3,866,582"
Stray Bear Films,3,"800,365","1,746,996"
Katahdin Productions,3,"795,514","795,514"
Sacher Film,3,"789,904","19,501,366"
Leopardo Filmes,3,"769,492","7,040,125"
FFA,3,"762,475","3,797,514"
Israel Ministry of Culture and Sport,3,"752,311","922,377"
Studio Pierrot,3,"742,823","20,171,142"
Low Key Pictures,3,"740,740","2,446,571"
LGM Films,3,"709,158","9,231,100"
UnLtd Productions,3,"703,982","703,982"
Raptor Films,3,"702,537","2,039,514"
Paradise City,3,"697,463","2,378,310"
Soficinema 9,3,"696,537","12,754,566"
Entertainment Film Distributors,3,"674,210","59,442,751"
Perfect Village Entertainment,3,"671,877","148,054,795"
Londinium,3,"669,688","774,925"
Saga Film,3,"669,185","7,454,647"
Hard Working Movies,3,"655,092","934,529"
Pierre Grise Productions,3,"650,773","4,240,145"
Abandon Pictures,3,"649,690","755,438"
Dream Sky Pictures,3,"636,909","421,953,797"
TS Productions,3,"612,685","3,257,217"
VTM,3,"601,449","10,071,967"
Phantom,3,"599,571","808,125"
The Rogers Group of Funds,3,"590,975","820,331"
Noga Communications,3,"581,825","1,037,836"
Cherry Sky Films,3,"562,756","628,444"
Galatee Films,3,"550,590","48,199,026"
Ing,3,"541,163","4,370,934"
CN5 Productions,3,"538,125","12,211,199"
Jouror Cinema,3,"535,821","11,573,352"
Quixotic Endevors,3,"534,811","572,948"
AC Films,3,"530,845","1,785,002"
La Banque Postale Image 7,3,"527,393","3,192,435"
Samsa Film,3,"524,563","4,270,057"
Go Films,3,"522,701","585,852"
Hessen Invest Film,3,"517,844","26,143,398"
Belladonna Productions,3,"504,604","2,145,647"
Final Cut For Real,3,"499,599","1,239,996"
Rita Productions,3,"491,028","14,416,875"
Manon 4,3,"484,142","3,917,502"
Optimum Releasing,3,"480,107","7,315,871"
A List Films,3,"476,219","698,390"
Allegro Film,3,"470,266","9,602,911"
Loki Films,3,"460,974","461,120"
Telepool,3,"458,475","680,646"
Imagine Documentaries,3,"449,561","449,561"
Filmpool Nord,3,"446,244","1,770,509"
Detailfilm,3,"442,211","7,425,742"
Filmkameratene AS,3,"440,680","8,358,629"
Little Magic Films,3,"433,475","4,511,553"
Telecine,3,"432,012","10,885,497"
La Lucarne,3,"431,026","460,635"
RBB,3,"428,028","707,153"
ORF - Austrian Broadcasting Corporation,3,"425,743","1,392,641"
Jafar Panahi Film Productions,3,"421,353","13,777,019"
Silesia Film,3,"416,226","680,347"
NDF International,3,"414,735","486,511"
Don't Look Now,3,"411,912","3,000,373"
Sony Music Entertainment Legacy,3,"410,465","36,884,918"
Upload Films,3,"401,102","1,084,500"
Romanian Centre of Cinematography,3,"394,199","1,934,225"
Deep Blue Pictures,3,"379,008","449,224"
Tribeca Film Institute,3,"372,534","387,836"
Insurgent Media,3,"368,721","462,362"
Emperor Film Production,3,"367,278","115,624,905"
Digital Ignition Entertainment,3,"366,189","1,182,053"
Inflammable Films,3,"360,115","2,852,983"
Bombero Intl.,3,"355,040","6,041,476"
Long Shot Factory,3,"355,040","378,298"
Frontline,3,"350,236","350,236"
Sofitvcine 4,3,"346,086","5,370,957"
UGC,3,"336,856","5,797,286"
Les Films de Pierre,3,"333,254","1,131,674"
Blue Water Films,3,"331,507","1,782,902"
The Bubble Factory,3,"331,000","331,000"
Screen WM,3,"326,876","1,700,082"
Canderblinks Films,3,"323,688","725,468"
Base Productions,3,"320,450","320,450"
SimonSays Entertainment,3,"317,515","317,515"
Beijing Hairun Pictures LTD,3,"310,774","46,173,350"
Eureka Pictures,3,"309,307","310,884"
Magic Light Pictures,3,"307,123","5,613,097"
Need Productions,3,"306,183","1,491,653"
Vertebra Films,3,"303,039","2,629,993"
Richmond Media Entertainment,3,"296,488","296,488"
Matanza Cine,3,"295,616","32,809,252"
Tri Destined Studios,3,"291,513","291,513"
Filmfoederung Hamburg Schleswig-Holstein,3,"288,434","8,577,125"
O2 Filmes,3,"288,059","4,331,751"
VideoFilmes,3,"285,930","3,720,611"
Corniche Pictures,3,"285,432","1,986,713"
BD Cine,3,"277,935","9,253,510"
Jerome Foundation,3,"277,169","367,667"
Bliss Media Limited,3,"274,320","928,398"
La maison de prod,3,"265,102","361,840"
Greencard Pictures,3,"263,256","263,256"
Lorette Productions,3,"262,834","1,436,027"
Reshet TV,3,"256,513","256,513"
RSA Films,3,"252,245","343,402"
Tangerine Entertainment,3,"251,783","303,880"
Archimede,3,"250,411","27,430,818"
Move Movie,3,"243,699","10,921,582"
One World Films,3,"238,343","10,845,789"
Juliette Inc.,3,"236,810","17,134,683"
Mill House Motion Pictures,3,"236,637","245,436"
Marzipan Entertainment,3,"234,523","476,954"
Zipporah,3,"230,137","305,626"
Pieter Van Huystee Film,3,"228,276","257,650"
World Cinema Fund,3,"225,180","1,252,860"
Insight Film Studios,3,"223,537","873,537"
Majestic Filmproduktion,3,"222,818","21,849,900"
Manny Films,3,"220,301","2,106,406"
Complex Corporation,3,"216,414","227,019"
Making Movies Oy,3,"215,193","1,020,742"
Merlin Films,3,"204,833","523,648"
Climax Films,3,"202,148","15,668,114"
Tango Films,3,"200,238","215,104"
Chapter 2,3,"195,792","3,994,314"
NTR,3,"189,677","347,933"
Focus Films,3,"188,306","219,860,339"
"Ipso Facto, Inc.",3,"188,248","1,832,751"
Electric Chinoland,3,"185,921","185,921"
F J Productions,3,"183,783","862,651"
B B Film Productions,3,"183,783","862,651"
Know Productions,3,"182,855","344,001"
Windmill Lane Pictures,3,"178,008","1,434,826"
Storyteller Pictures,3,"171,357","200,265"
Spanish Television TVE,3,"170,848","9,518,793"
Rogers Telefund,3,"166,957","180,416"
2B Pictures,3,"164,901","480,282"
Process Media,3,"157,690","157,690"
Made Bed Productions,3,"157,654","157,654"
TV4 Entertainment,3,"157,613","994,503"
Datari Turner Films,3,"156,996","156,996"
El Dorado Pictures,3,"155,175","155,175"
Sorrento Prods,3,"154,724","1,893,454"
Amerique Film,3,"151,564","159,117"
Ball and Chain Productions,3,"151,307","243,772"
Relativity Squared,3,"150,873","797,236"
Webber Gilbert Media Group,3,"148,699","148,699"
The Cinemart,3,"144,549","599,949"
Paul Thiltges Distributions,3,"141,173","143,332"
Chimney Pot,3,"140,883","1,803,943"
Amour Fou,3,"140,269","205,287"
Dan Films,3,"139,009","7,552,557"
Filmregion Stockholm-Malardalen,3,"138,148","2,576,410"
Beijing Ruyi Xinxin Film Investment,3,"136,171","74,899,374"
Dreamer Joint Venture,3,"134,078","134,078"
YLE TV,3,"133,037","214,064"
NRK,3,"133,037","214,064"
Flying Moon,3,"129,579","245,981"
Three Point Capital,3,"128,964","5,978,945"
Viking Film,3,"125,992","691,060"
Convergent Media,3,"123,445","343,483"
New Light Films,3,"122,764","128,301"
Zik Zak Filmworks,3,"121,461","6,504,106"
Cabin Creek Films,3,"120,880","120,880"
BBC Arts,3,"120,745","240,377"
Sudwestrundfunk,3,"119,946","123,260"
Hi Film,3,"119,417","147,287"
EFC Films,3,"110,866","170,993"
Present Pictures,3,"110,013","110,013"
Actual Films,3,"104,958","124,912"
Strongman,3,"104,933","183,437"
Tarantula,3,"104,061","328,444"
Lava Films,3,"104,039","130,113"
Firebrand,3,"102,388","125,417"
Helo,3,"101,531","101,531"
Continental Film,3,"101,007","101,007"
Tobina Film,3,"100,591","100,591"
Anonymes Films,3,"100,591","100,591"
Imcine,3,"99,510","393,422"
Nowhere,3,"96,713","117,233"
Indie Film,3,"96,704","96,704"
Les Productions Georges de Beauregard,3,"95,103","96,399"
FSA,3,"94,757","623,477"
Flach Film Production,3,"94,504","200,982"
Sensory Overload Entertainment,3,"88,539","88,539"
Rialto Pictures,3,"84,916","84,916"
Oceania Produzioni Internazionali Cinematografiche,3,"83,653","9,357,782"
Australian Broadcasting Corp,3,"83,566","3,096,210"
M+M Films,3,"81,478","1,616,425"
Chinavision Media Group,3,"81,070","294,330,994"
Sofitvcine 2,3,"79,725","6,129,438"
SRF,3,"76,277","210,638"
Timpson Films,3,"74,881","109,780"
Rakontur production,3,"74,302","74,302"
Les Films du Belier,3,"73,264","2,433,500"
Tax Shelter Films Fund,3,"73,180","51,731,836"
Submarine Deluxe,3,"72,277","72,277"
Offhollywood Pictures,3,"71,007","71,007"
C Plus Pictures,3,"71,007","71,007"
Warp X,3,"70,518","1,576,095"
Rumble Films,3,"70,069","70,069"
Tigerlily Films,3,"67,999","256,449"
Left Field Ventures,3,"67,772","990,026"
Stone Angels,3,"67,768","25,697,597"
Close Up Films,3,"67,233","128,178"
Mandarin Films,3,"67,059","39,173,194"
Wild Horses Film Company,3,"67,041","154,191"
Lucky Hat Entertainment,3,"66,457","66,457"
Epidemic,3,"64,657","145,550"
Instituto Mexicano de Cinematografia,3,"64,379","1,011,943"
KGP,3,"63,796","505,063"
Interloper Films,3,"62,713","64,276"
Open Society Foundations,3,"61,359","151,012"
House on Fire,3,"60,944","98,152"
Silver Films,3,"60,362","60,362"
Glacier Films,3,"60,058","6,742,421"
Novotny and Novotny,3,"59,286","59,286"
Mer Film,3,"58,933","873,384"
B Media 2012,3,"58,917","2,928,761"
ICA,3,"58,576","268,732"
Taxsheler.be,3,"58,176","2,693,567"
No Weather,3,"56,366","59,322"
Bidibul Productions,3,"56,224","28,002,057"
Arizona Film,3,"56,092","211,767"
JunaFilm,3,"55,739","165,355"
Mod Producciones,3,"55,039","31,243,169"
Stealth Media Group,3,"54,355","277,028"
AGAT Films & Cie,3,"53,833","157,927"
Newgrange Pictures,3,"53,025","1,853,249"
Film i Skane,3,"52,637","133,664"
Mark Stewart Productions,3,"52,482","599,095"
Skylight Pictures,3,"51,965","51,965"
Ebersole Hughes Company,3,"51,955","53,416"
Fondo Para La Produccion,3,"51,818","482,480"
My New Picture,3,"50,291","225,323"
Black Sheep,3,"49,169","157,571"
TV Tokyo,3,"48,623","38,721,596"
Area 23a,3,"46,763","46,763"
Palatine Etoile 14,3,"46,337","6,279,150"
Inver Invest,3,"46,127","1,255,417"
Realitism Films,3,"46,021","513,836"
Film Clinic,3,"44,906","132,056"
Stefi Productions,3,"42,582","42,582"
Dream Alliance Entertainment,3,"41,852","41,852"
Fondazione Sardegna Film Commission,3,"41,060","9,686,955"
Embargo Films,3,"40,866","9,615,267"
Rezo Films,3,"39,522","198,139"
Brittany House Pictures,3,"39,180","39,180"
Soapbox Films,3,"38,239","125,143"
Wigwam Films,3,"37,135","176,059"
See Pictures,3,"37,109","5,357,484"
Altitude Film Sales,3,"35,866","222,580"
Nero Films A.G.,3,"35,566","35,566"
Land Niederoesterreich,3,"35,192","745,427"
Tandem Pictures,3,"33,344","54,784"
Unbroken Pictures,3,"32,979","229,833"
Compass Entertainment,3,"31,900","82,282"
Argot Pictures,3,"31,249","31,249"
Historia,3,"31,053","31,053"
Reno Productions,3,"30,186","30,186"
Hugofilm Productions,3,"30,115","8,559,894"
LLeju Prods,3,"30,100","30,100"
TVC,3,"30,075","9,139,672"
Sutter Road Picture Company,3,"29,136","29,136"
Screening Emotions,3,"28,653","121,330"
Sommerhaus Filmproduktion,3,"28,394","9,201,656"
Aimimage Productions,3,"26,002","119,481"
Little Teeth Pictures,3,"25,935","25,935"
Morley,3,"25,338","913,173"
Ryot Films,3,"24,951","37,923"
Waterstone,3,"24,752","4,344,108"
Ignite Channel,3,"24,117","126,255"
Soandbrad,3,"24,083","32,433"
VGTV,3,"23,863","24,983"
Cavu Pictures,3,"22,986","22,986"
Bridgegate Pictures Corp,3,"22,233","22,233"
Ironbound Films,3,"21,652","21,652"
Sob Noisse,3,"20,724","20,724"
